ID,Song,Artist,Album
1,Trauma,Foxygen,Hang
2,How Are You True,Cage The Elephant,Tell Me I'm pretty
3,Salad Days,Mac Demarco,Salad Days
4,South,Hippo Campus,South
5,Word by Word,Bombay Bicycle Club,Flaws
6,Sound & Color,Alabama Shakes,Sound & Color
7,Left Hand Free,alt-J,This Is All Yous
8,Ragged Wood,Fleet Foxes,Fleet Foxes
9,Flower Drum Song,Cold War Kids,Hold My Home
10,This Is The Life,Two Door Cinema Club,Tourist History
11,Give Me A Try,The Wombats,Glitterbug
12,Mr. Brightside,The Killers,Hot Fuss
13,Anagram,Young The Giant,Mind Over Matter
14,Tighten Up,The Black Keys,Brothers
15,Fire Escape,Foster the People,Supermodel
16,Float On,Modest Mouse,Good News For People Who Love Bad News
17,R U Mine?,Arctic Monkeys,AM
18,No One's Gonna Love You,Band of Horses,Cease To Begin
19,Step,Vampire Weekend,Modern Vampires of the City
20,The Less I Know The Better,Tame Impala,Currents
